Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
Michala,Boelter,2444,80,Fixed Seating,,,,Single Projection,1,1,1,,1,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/v2thsg0jpepm9jatbwzv7th26thyi0vh
Michala,Boelter,2760,72,Fixed Seating,,,,Single Projection,,,,,1,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/l7i6styk0pc0mdjizd7nujmpcexp12v4
Michala,Boelter,3400,174,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,,Voice & Media,,,1,1,1,https://ucla.box.com/s/q81u2skj6iqe43l54v1sier0d9f22mqd
Michala,Boelter,4283,30,Fixed Seating,,,,Single Projection,,,,,,1,,,1,,Media & XLR input,,,,1,,https://ucla.box.com/s/lrcjpk0fk8vvr9669c5q5yeb4r4ikoec
Michala,Boelter,4413,30,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,,https://ucla.box.com/s/3t0dji8cznh9c9ad2mukue1r3mnji3y2
Michala,Boelter,5249,92,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/dbpifgj9t8ehqgy0n6v4kr1thu9dyla8
Michala,Boelter,5252,34,,,,1,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,,https://ucla.box.com/s/3f8xjg0bmvdmf2ryqgv3s5ia21152rrp
Michala,Boelter,5264,48,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/8m0qq6cqogs5qlyiszr2hh8zccc57rya
Michala,Boelter,5272,39,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,,https://ucla.box.com/s/71dzlc29tlasmlnc4ik86zlsvw99wzso
Michala,Boelter,5273,41,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/kutfyo4pir2y5mnvv51tp7makw7w25sn
Michala,Boelter,5280,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/a5btr7pctizo2a4k7g96924x3gx3qujm
Michala,Boelter,5419,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/7ii9n6649jf4e6hjes472vyzwuom4lhs
Michala,Boelter,5420,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/zr84mimny7d09uxi150lc97pg0qo5ro1
Michala,Boelter,5422,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/8o1f37b81fngjxfg87sh6vva84sx1gaz
Michala,Boelter,5436,49,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/mzfe622v34y35f1ykiolvjswjhwkbnn7
Michala,Boelter,5440,44,Active Learning Room,1,1,,Multiple Projection,,,,,1,1,,,,Input Only,Media Only,1,,,1,,https://ucla.box.com/s/py5t8kr7tq2iq182gmbfeeeoq5k182lh
